id,年龄,每月补贴积分,自理能力,居住情况,性别,婚姻状况,留存天数,观察期最后一次购买日期,第一次,最后一次,花费积分总数,总次数,月均次数,次均积分,家政服务,精神慰藉,生活照料,医疗保健,最大消费积分数,购买概率,购买天数,时间间隔,用户流失,最后一次距离12/31天数
55,91,300,1, ,1,1,510,2020/6/3,2019/1/10,2021/12/20,4015.6,47,2.764705882,85.43829787,47,0,0,0,120,3.615384615,13,39.23076923,0,11
56,91,200,1,与配偶及子女同住,0,1,325,2019/12/3,2019/1/12,2021/12/1,2370,37,3.415384615,64.05405405,31,0,1,5,100,2.3125,16,20.3125,0,30
57,91,200,3,偶居,1,1,326,2020/1/8,2019/2/16,2021/8/26,2565.72,62,5.705521472,41.38258065,62,0,0,0,68,3.875,16,20.375,1,127
58,91,200,3,独居,0,3,371,2020/1/11,2019/1/5,2020/10/30,2596,71,5.741239892,36.56338028,71,0,0,0,67.4,3.086956522,23,16.13043478,1,427
59,91,200,1,与配偶及子女同住,0,1,329,2020/1/15,2019/2/20,2021/12/23,2560,50,4.559270517,51.2,49,0,1,0,95,2.941176471,17,19.35294118,0,8
60,91,200,2,与子女同住,0,1,368,2020/1/20,2019/1/17,2021/12/6,2424,86,7.010869565,28.18604651,55,0,31,0,48,2.529411765,34,10.82352941,0,25
61,91,200,2, ,0,0,329,2019/12/2,2019/1/7,2021/10/18,2129,38,3.465045593,56.02631579,37,0,1,0,96,2.923076923,13,25.30769231,1,74
62,91,100,3,独居,0,3,476,2020/6/15,2019/2/25,2021/12/13,859.8,27,1.701680672,31.84444444,5,0,22,0,291.6,1.421052632,19,25.05263158,0,18
63,91,100,3, ,1,1,323,2019/12/13,2019/1/24,2021/9/16,1075.2,44,4.086687307,24.43636364,0,0,29,15,33.6,1.1,40,8.075,1,106
64,90,200,2,与配偶及子女同住,0,1,353,2020/1/18,2019/1/30,2021/12/28,2591.16,50,4.249291785,51.8232,50,0,0,0,91,3.846153846,13,27.15384615,0,3
65,90,200,3,偶居,1,1,116,2020/1/22,2019/9/28,2021/12/13,1241,24,6.206896552,51.70833333,24,0,0,0,110,3.428571429,7,16.57142857,0,18
66,90,300,1,与子女同住,1,1,364,2020/1/9,2019/1/10,2021/11/29,3704,64,5.274725275,57.875,46,0,11,7,118,3.047619048,21,17.33333333,1,32
67,90,200,1,与子女同住,0,1,368,2020/1/15,2019/1/12,2021/12/20,2600,48,3.913043478,54.16666667,47,0,1,0,100,2.285714286,21,17.52380952,0,11
68,90,200,2,与子女同住,0,1,362,2020/1/21,2019/1/24,2021/12/9,1343,148,12.26519337,9.074324324,0,2,146,0,30,1.034965035,143,2.531468531,0,22
69,90,300,1,与配偶及子女同住,0,1,372,2020/1/15,2019/1/8,2021/12/30,3900,66,5.322580645,59.09090909,66,0,0,0,120,2.538461538,26,14.30769231,0,1
70,90,200,2,与子女同住,0,1,487,2020/6/21,2019/2/20,2021/12/23,1432,32,1.971252567,44.75,16,0,16,0,240,2.666666667,12,40.58333333,0,8
71,90,100,3,与子女同住,1,0,220,2020/6/13,2019/11/6,2021/12/7,810.2,18,2.454545455,45.01111111,18,0,0,0,80,4.5,4,55,0,24
72,90,200,2,偶居,1,1,255,2019/12/26,2019/4/15,2021/3/31,2300,33,3.882352941,69.6969697,33,0,0,0,100,2.2,15,17,1,275
73,90,300,2,偶居,0,1,366,2020/1/18,2019/1/17,2021/7/15,3822,91,7.459016393,42,43,0,48,0,300,2.275,40,9.15,1,169
74,90,200,3,独居,0,3,364,2020/1/21,2019/1/22,2021/12/4,1851,218,17.96703297,8.490825688,0,0,218,0,36,1.153439153,189,1.925925926,0,27
75,90,200,2,与配偶及子女同住,0,1,370,2020/1/15,2019/1/10,2021/12/18,2595.2,57,4.621621622,45.52982456,57,0,0,0,76.4,2.28,25,14.8,0,13
76,90,200,2,偶居,0,1,292,2019/12/30,2019/3/13,2021/12/21,2400,15,1.54109589,160,15,0,0,0,300,1,15,19.46666667,0,10
77,90,200,2,与子女同住,0,1,324,2019/12/21,2019/1/31,2021/11/30,2224,45,4.166666667,49.42222222,45,0,0,0,80,3,15,21.6,1,31
